Station;Date;Metadata;Notes
Senebier;31.12.1783;;
Deluc;30.09.1775;;
Deluc;29.06.1781;;small data gap
Deluc;31.03.1786;;
Deluc;16.03.1794;;small data gap
DigiHom;31.12.1806;;
DigiHom;31.12.1811;;
DigiHom;31.12.1847;;
